index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
406,Morocco,15,Youssef AIT BENNASSER,07.07.1996,MF,Caen (FRA),1,56,4123,56.0,4123.0
407,Morocco,16,Noureddine AMRABAT,31.03.1987,MF,Leganes (ESP),6,68,4260,11.333333333333334,710.0
408,Morocco,17,Nabil DIRAR,25.02.1986,DF,Fenerbahçe (TUR),15,70,4553,4.666666666666667,303.53333333333336
409,Morocco,18,Amine HARIT,18.06.1997,MF,Schalke 04 (GER),8,69,4765,8.625,595.625
410,Morocco,19,Youssef EN NESYRI,01.06.1997,FW,Malaga (ESP),1,41,1982,41.0,1982.0
411,Morocco,20,Aziz BOUHADDOUZ,30.03.1987,FW,St. Pauli (GER),8,56,4319,7.0,539.875
412,Morocco,21,Sofyan AMRABAT,21.08.1996,MF,Feyenoord (NED),9,76,5782,8.444444444444445,642.4444444444445
413,Morocco,22,Ahmed TAGNAOUTI,05.04.1996,GK,IRT Tanger (MAR),0,0,0,0,0
414,Morocco,23,Mehdi CARCELA,01.07.1989,MF,Standard Liège (BEL),12,58,4266,4.833333333333333,355.5
415,Nigeria,1,Ikechukwu EZENWA,16.10.1988,GK,Enyimba (NGA),0,0,0,0,0
